study,year,doi,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,consensus_total,consensus_band,strong_generalization_claim_allowed,source_url
"Mineral prospectivity mapping under extreme imbalance using contrastive embeddings, balanced learning and integrated uncertainty analysis",2026,10.1007/s10791-026-10192-z,2,2,2,0,2,2,2,2,2,2,2,0,20,HIGH_SUPPORT,YES,https://link.springer.com/article/10.1007/s10791-026-10192-z
Boosting for Mineral Prospectivity Modeling: A New GIS Toolbox,2020,10.1007/s11053-019-09483-8,2,2,1,0,0,2,2,2,2,1,1,2,17,MODERATE_SUPPORT,NO,https://link.springer.com/article/10.1007/s11053-019-09483-8
Workflow-Induced Uncertainty in Data-Driven Mineral Prospectivity Mapping,2024,10.1007/s11053-024-10322-8,2,2,2,1,1,2,1,2,2,2,1,1,19,HIGH_SUPPORT,NO,https://link.springer.com/article/10.1007/s11053-024-10322-8
Class Label Representativeness in Machine Learning-Based Mineral Prospectivity Mapping,2025,10.1007/s11053-025-10468-z,2,2,2,2,1,2,0,2,2,1,1,0,17,MODERATE_SUPPORT,NO,https://link.springer.com/article/10.1007/s11053-025-10468-z
"GIS-based mineral prospectivity mapping using machine learning methods: A case study from Tongling ore district, eastern China",2019,10.1016/j.oregeorev.2019.04.003,2,2,1,0,0,1,1,2,2,0,1,0,12,LOW_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136818307406
"Mineral prospectivity mapping by deep learning method in Yawan-Daqiao area, Gansu",2021,10.1016/j.oregeorev.2021.104316,2,2,2,0,0,1,1,1,1,0,1,0,11,LOW_SUPPORT,NO,https://www.mindat.org/reference.php?id=13102543
Mineral prospectivity mapping using attention-based convolutional neural network,2023,10.1016/j.oregeorev.2023.105381,2,2,1,0,0,1,1,2,1,1,2,1,14,MODERATE_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136823000963
Improved mineral prospectivity mapping using graph neural networks,2024,10.1016/j.oregeorev.2024.106215,2,2,1,1,0,2,1,2,1,0,2,2,16,MODERATE_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136824003482
"Enhancing porphyry copper prospectivity mapping: A deep autoencoder-based approach to identify non-deposit points in Varzaghan region, NW Iran",2025,10.1016/j.oregeorev.2025.106705,2,2,1,1,0,2,0,2,2,0,2,1,15,MODERATE_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136825002653
Multi-model decision system: An ensemble deep learning model to enhance predictive power in mineral prospectivity mapping,2025,10.1016/j.oregeorev.2025.106768,2,2,1,0,0,1,0,2,2,2,1,0,13,MODERATE_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136825003282
A semi-supervised approach for mineral prospectivity mapping via weighted positive-unlabeled learning and tree-structured parzen estimator for hyperparameter optimization,2025,10.1016/j.oregeorev.2025.106783,2,2,2,2,0,2,2,2,2,0,1,0,17,MODERATE_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136825003439
Three-dimensional mineral prospectivity mapping using a residual convolutional neural network with lightweight attention mechanisms,2025,10.1016/j.oregeorev.2025.106797,2,2,1,0,0,0,1,2,1,0,1,0,10,LOW_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136825003579
Mineral prospectivity mapping for multi-source geoscience data: A novel unsupervised deep learning method,2025,10.1016/j.oregeorev.2025.106866,2,2,1,0,0,2,0,2,1,0,1,1,12,LOW_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136825004263
Validation design and cross-cluster transferability in machine learning–based prospectivity mapping of magmatic Ni sulphide systems,2026,10.1016/j.oregeorev.2026.107313,2,2,2,0,2,2,2,2,2,2,2,0,20,HIGH_SUPPORT,YES,https://www.sciencedirect.com/science/article/pii/S016913682600212X
Dual-relation heterogeneous graph approach with positive-unlabeled learning for mineral prospectivity mapping,2026,10.1016/j.oregeorev.2026.107364,2,2,2,2,1,2,1,2,2,2,2,0,20,HIGH_SUPPORT,NO,https://www.sciencedirect.com/science/article/pii/S0169136826002635
"Mineral Prospectivity Mapping of Tungsten Polymetallic Deposits Using Machine Learning Algorithms and Comparison of Their Performance in the Gannan Region, China",2023,10.1029/2022ea002596,2,2,1,0,0,1,0,2,2,0,1,2,13,MODERATE_SUPPORT,NO,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022EA002596
Ensemble machine learning strategies for mineral prospectivity mapping under data scarcity,2026,10.1038/s41598-026-40125-1,2,2,2,0,0,2,2,2,2,2,1,1,18,MODERATE_SUPPORT,NO,https://www.nature.com/articles/s41598-026-40125-1
Transformer–GCN Fusion Framework for Mineral Prospectivity Mapping: A Geospatial Deep Learning Approach,2025,10.3390/min15070711,2,2,1,0,0,2,1,2,1,0,1,1,13,MODERATE_SUPPORT,NO,https://www.mdpi.com/2075-163X/15/7/711
Geoscientific Input Feature Selection for CNN-Driven Mineral Prospectivity Mapping,2025,10.3390/min15121237,2,2,1,0,0,1,1,2,1,1,2,1,14,MODERATE_SUPPORT,NO,https://www.mdpi.com/2075-163X/15/12/1237
Toward Robust Mineral Prospectivity Mapping: A Transformer-Based Global–Local Fusion Framework with Application to the Xiadian Gold Deposit,2026,10.3390/min16030331,2,2,1,0,0,1,0,2,1,0,1,1,11,LOW_SUPPORT,NO,https://doi.org/10.3390/min16030331
Uncertainty quantification of deep learning model for mineral prospectivity mapping,2026,10.5194/egusphere-2026-1293,2,2,1,0,0,1,0,2,2,2,1,2,15,MODERATE_SUPPORT,NO,https://zenodo.org/records/20793560
DEEP-SEAM: an explainable semi-supervised deep learning framework for mineral prospectivity mapping,2026,10.5194/gmd-19-2593-2026,2,2,2,2,0,2,0,2,2,0,2,2,18,MODERATE_SUPPORT,NO,https://gmd.copernicus.org/articles/19/2593/2026/
